chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr4	148.0	214.0	28.0	29.0	0.1891891891891892	0.13551401869158877	0.15791520809023726
chr14	97.0	129.0	25.0	25.0	0.25773195876288657	0.1937984496124031	0.22123893805309733
chr16	250.0	182.0	54.0	53.0	0.216	0.29120879120879123	0.24802842534015082
chr20	92.0	171.0	54.0	54.0	0.5869565217391305	0.3157894736842105	0.41064638783269963
average	146.75	174.0	40.25	40.25	0.31246941742280154	0.2340776832992484	0.2594572398290463
standard error	36.6682764798129	17.55467648994611	7.962150044638278	7.696048769769242	0.09257597014872679	0.042108978482601665	0.05382084406851973
overall	587.0	696.0	161.0	161.0	0.27427597955706984	0.23132183908045978	0.25097427903351516
