chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr4	227.0	552.0	196.0	200.0	0.8634361233480177	0.36231884057971014	0.5104432522527215
chr14	205.0	342.0	159.0	163.0	0.775609756097561	0.4766081871345029	0.5904115362272618
chr16	164.0	283.0	127.0	129.0	0.774390243902439	0.4558303886925795	0.5738655270854861
chr20	158.0	271.0	141.0	143.0	0.8924050632911392	0.5276752767527675	0.6632020393059781
average	188.5	362.0	155.75	158.75	0.8264602966597893	0.45560817328989006	0.5844805887178619
standard error	16.545392107774298	65.20608356076397	14.929696357707122	15.418468363189213	0.03029437774429051	0.034565899573856085	0.03139327110142133
overall	754.0	1448.0	623.0	635.0	0.8262599469496021	0.43853591160220995	0.5729693951889139
