chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr4	581.0	214.0	31.0	33.0	0.05335628227194492	0.1542056074766355	0.07928081528267525
chr14	216.0	129.0	17.0	17.0	0.0787037037037037	0.13178294573643412	0.09855072463768116
chr16	184.0	182.0	29.0	28.0	0.15760869565217392	0.15384615384615385	0.15570469798657718
chr20	59.0	171.0	26.0	26.0	0.4406779661016949	0.15204678362573099	0.22608695652173913
average	260.0	174.0	25.75	26.0	0.18258666193237938	0.1479703726712386	0.13990579860716817
standard error	112.2326452805362	17.55467648994611	3.092329219213245	3.3416562759605704	0.0888478006315829	0.005416432363138586	0.03299296382969871
overall	1040.0	696.0	103.0	104.0	0.09903846153846153	0.14942528735632185	0.11912281482140474
