chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr4	70.0	214.0	16.0	16.0	0.22857142857142856	0.07476635514018691	0.11267605633802817
chr14	30.0	129.0	14.0	14.0	0.4666666666666667	0.10852713178294573	0.1761006289308176
chr16	61.0	182.0	21.0	21.0	0.3442622950819672	0.11538461538461539	0.1728395061728395
chr20	43.0	171.0	22.0	22.0	0.5116279069767442	0.1286549707602339	0.20560747663551399
average	51.0	174.0	18.25	18.25	0.38778207432420164	0.10683326826699549	0.1668059170192998
standard error	8.972179222463181	17.55467648994611	1.9311050377094112	1.9311050377094112	0.06377210079699579	0.011476310122459475	0.019490165711661532
overall	204.0	696.0	73.0	73.0	0.35784313725490197	0.10488505747126436	0.1622222222222222
