chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr4	198.0	552.0	106.0	108.0	0.5353535353535354	0.1956521739130435	0.2865725443075999
chr14	129.0	342.0	83.0	84.0	0.6434108527131783	0.24561403508771928	0.35551476212329813
chr16	122.0	283.0	74.0	74.0	0.6065573770491803	0.26148409893992935	0.3654320987654321
chr20	103.0	271.0	68.0	69.0	0.6601941747572816	0.25461254612546125	0.36749559428235756
average	138.0	362.0	82.75	83.75	0.6113789849682939	0.23934071351653832	0.3437537498696719
standard error	20.740459654179958	65.20608356076397	8.340413658806138	8.663861725581729	0.027706918807120638	0.014920906600766	0.019238931159076822
overall	552.0	1448.0	331.0	335.0	0.5996376811594203	0.231353591160221	0.3338863729434153
