chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr4	815.0	214.0	38.0	37.0	0.046625766871165646	0.17289719626168223	0.07344529474756445
chr14	386.0	129.0	38.0	37.0	0.09844559585492228	0.2868217054263566	0.14658048373644705
chr16	232.0	182.0	42.0	43.0	0.1810344827586207	0.23626373626373626	0.204994324631101
chr20	87.0	171.0	43.0	43.0	0.4942528735632184	0.25146198830409355	0.3333333333333333
average	380.0	174.0	40.25	40.0	0.20508967976198175	0.23686115656396717	0.18958835911211147
standard error	157.32503509189715	17.55467648994611	1.3149778198382918	1.7320508075688772	0.10028200963335271	0.0238064869638195	0.05495365481608724
overall	1520.0	696.0	161.0	160.0	0.10592105263157894	0.22988505747126436	0.1450221811876506
