chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr4	486.0	552.0	160.0	155.0	0.3292181069958848	0.2807971014492754	0.30308585395661475
chr14	547.0	342.0	178.0	163.0	0.32541133455210236	0.4766081871345029	0.3867579330431826
chr16	629.0	283.0	153.0	140.0	0.24324324324324326	0.49469964664310956	0.32612915749967647
chr20	488.0	271.0	160.0	144.0	0.32786885245901637	0.5313653136531366	0.40551957195156296
average	537.5	362.0	162.75	150.5	0.3064353843125617	0.4458675622200061	0.3553731291127592
standard error	33.62166959962974	65.20608356076397	5.344389581607987	5.236092690801669	0.021078779593998592	0.056189916806325665	0.02430507605778692
overall	2150.0	1448.0	651.0	602.0	0.30279069767441863	0.4157458563535912	0.35038990624726196
