chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr4	244.0	214.0	41.0	39.0	0.1680327868852459	0.1822429906542056	0.17484964461454347
chr14	94.0	129.0	25.0	25.0	0.26595744680851063	0.1937984496124031	0.2242152466367713
chr16	129.0	182.0	33.0	32.0	0.2558139534883721	0.17582417582417584	0.2084073416222617
chr20	81.0	171.0	38.0	36.0	0.4691358024691358	0.21052631578947367	0.2906309751434034
average	137.0	174.0	34.25	33.0	0.2897349974128161	0.19059798297006456	0.22452580200424496
standard error	37.07874503449831	17.55467648994611	3.497022543059548	3.0276503540974917	0.06371295396530245	0.007612778237235049	0.024319943356715733
overall	548.0	696.0	137.0	132.0	0.25	0.1896551724137931	0.2156862745098039
