chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr4	530.0	214.0	30.0	32.0	0.05660377358490566	0.14953271028037382	0.08212147134302822
chr14	207.0	129.0	29.0	28.0	0.14009661835748793	0.21705426356589147	0.170284156443326
chr16	183.0	182.0	49.0	51.0	0.2677595628415301	0.2802197802197802	0.2738480083283108
chr20	86.0	171.0	44.0	44.0	0.5116279069767442	0.2573099415204678	0.3424124513618677
average	251.5	174.0	38.0	38.75	0.24402196544016697	0.22602917389662833	0.21716652186913318
standard error	96.44730858522354	17.55467648994611	5.01663898109747	5.313112709765027	0.09920621195293923	0.028646358404465642	0.057252696895166814
overall	1006.0	696.0	152.0	155.0	0.15109343936381708	0.22270114942528735	0.18003836131467738
