chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr4	294.0	552.0	174.0	174.0	0.5918367346938775	0.31521739130434784	0.4113475177304965
chr14	211.0	342.0	141.0	147.0	0.6682464454976303	0.4298245614035088	0.5231514784386476
chr16	279.0	283.0	131.0	133.0	0.46953405017921146	0.46996466431095407	0.4697492585602589
chr20	161.0	271.0	125.0	128.0	0.7763975155279503	0.47232472324723246	0.5873391700163353
average	236.25	362.0	142.75	145.5	0.6265036864746674	0.4218328350665108	0.4978968561864346
standard error	30.90678188790717	65.20608356076397	10.92684004336722	10.315845416962523	0.06458320355918357	0.03685198354783537	0.03755085295040362
overall	945.0	1448.0	571.0	582.0	0.6042328042328042	0.40193370165745856	0.4827461980624609
