chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr4	281.0	552.0	148.0	152.0	0.5266903914590747	0.2753623188405797	0.3616487685679377
chr14	207.0	342.0	133.0	136.0	0.642512077294686	0.39766081871345027	0.4912680952768951
chr16	214.0	283.0	117.0	116.0	0.5467289719626168	0.4098939929328622	0.46852507120048326
chr20	162.0	271.0	109.0	112.0	0.6728395061728395	0.4132841328413284	0.5120483191074388
average	216.0	362.0	126.75	129.0	0.5971927367223042	0.3740503158320551	0.45837256353818867
standard error	24.539084470832783	65.20608356076397	8.663861725581729	9.291573243177568	0.03569949649452899	0.03306664757441388	0.03344369480881538
overall	864.0	1448.0	507.0	516.0	0.5868055555555556	0.356353591160221	0.4434252008542663
